127.0.0.1 - - [10/Jun/2021:12:36:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jun/2021:12:36:21 +0900] "GET /P01_HTML/quiz_one.html HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [10/Jun/2021:12:36:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jun/2021:12:53:30 +0900] "GET /P01_HTML/ex11_table-basic.html HTTP/1.1" 200 1302
0:0:0:0:0:0:0:1 - - [10/Jun/2021:12:54:30 +0900] "GET /P01_HTML/ex11_table-basic.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [10/Jun/2021:12:56:30 +0900] "GET /P01_HTML/ex11_table-basic.html HTTP/1.1" 200 1488
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:04:17 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:05:06 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:05:48 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:08:10 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:08:32 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:03 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:09 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:16 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:21 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:22 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:23 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:25 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:25 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:26 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:26 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:26 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:26 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jun/2021:13:09:26 +0900] "GET /P01_HTML/ex12_table-marge.html HTTP/1.1" 304 -
